Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,288.450012,289.829987,285.793335,371.333344,288.600006,42096300
2021-10-21,285.333344,300.000000,285.166656,402.863342,298.000000,94444500
2021-10-22,298.500000,303.333344,296.986664,390.666656,303.226654,68642400
2021-10-25,316.843323,348.339996,314.733337,404.619995,341.619995,188556300
2021-10-26,341.563324,364.980011,333.813324,409.970001,339.476654,187245000
2021-10-27,346.553345,356.959991,343.593323,407.363342,345.953339,115579500
2021-10-28,356.103333,360.333344,351.399994,387.646667,359.013336,81639600
2021-10-29,360.619995,371.736664,357.736664,341.166656,371.333344,89755200
2021-11-01,381.666656,403.250000,372.886658,355.983337,402.863342,168146100
2021-11-02,386.453339,402.863342,382.000000,354.503326,390.666656,128213400
2021-11-03,392.443329,405.130005,384.206665,344.473328,404.619995,103885500
2021-11-04,411.470001,414.496674,405.666656,337.796661,409.970001,76192200
2021-11-05,409.333344,413.290009,402.666656,351.576660,407.363342,64886400
2021-11-08,383.263336,399.000000,377.666656,363.003326,387.646667,100337100
2021-11-09,391.200012,391.500000,337.173340,365.459991,341.166656,177317400
2021-11-10,336.803345,359.366669,329.103333,379.019989,355.983337,128408100
2021-11-11,367.589996,368.323334,351.559998,385.623322,354.503326,67189800
2021-11-12,349.166656,351.500000,339.733337,369.676666,344.473328,76719300
2021-11-15,339.209991,343.993347,326.200012,372.000000,337.796661,104326800
2021-11-16,334.436676,352.399994,334.059998,360.640015,351.576660,79627200
2021-11-17,354.503326,373.213318,351.833344,378.996674,363.003326,94336200
2021-11-18,368.850006,370.666656,358.339996,381.586670,365.459991,62696700
2021-11-19,366.290009,379.573334,364.233337,365.000000,379.019989,64926900
2021-11-22,387.443329,400.649994,377.476654,361.533325,385.623322,99217500
2021-11-23,389.170013,393.500000,354.233337,338.323334,369.676666,108515100
2021-11-24,360.130005,377.589996,354.000000,336.336670,372.000000,67680600
2021-11-26,366.489990,369.593323,360.333344,350.583344,360.640015,35042700
2021-11-29,366.996674,380.890015,366.730011,356.320007,378.996674,58393500
2021-11-30,381.456665,389.333344,372.666656,334.600006,381.586670,81276000
2021-12-01,386.899994,390.946655,363.586670,339.010010,365.000000,68450400
2021-12-02,366.353333,371.000000,352.216675,322.136658,361.533325,73114800
2021-12-03,361.596680,363.526672,333.403320,319.503326,338.323334,92322000
2021-12-06,333.836670,340.546661,316.833344,325.329987,336.336670,81663000
2021-12-07,348.066681,352.556671,342.269989,308.973328,350.583344,56084700
2021-12-08,350.903320,357.459991,344.333344,310.856659,356.320007,41906400
2021-12-09,353.546661,354.163330,334.119995,299.980011,334.600006,59438400
2021-12-10,336.250000,340.326660,327.510010,312.843323,339.010010,59664300
2021-12-13,333.696655,335.000000,317.140015,336.290009,322.136658,78595500
2021-12-14,315.000000,322.136658,310.000000,355.666656,319.503326,70806300
2021-12-15,317.736664,326.250000,309.416656,364.646667,325.329987,75169200
2021-12-16,331.500000,331.660004,307.283325,362.823334,308.973328,82771500
2021-12-17,304.923340,320.220001,303.013336,362.063324,310.856659,100437300
2021-12-20,303.566681,307.230011,297.796661,356.779999,299.980011,56480100
2021-12-21,305.623322,313.166656,295.373322,352.260010,312.843323,71517900
2021-12-22,321.886658,338.553345,319.016663,399.926666,336.290009,93634200
2021-12-23,335.600006,357.660004,332.519989,383.196655,355.666656,92713200
2021-12-27,357.890015,372.333344,356.906677,362.706665,364.646667,71145900
2021-12-28,369.829987,373.000000,359.473328,354.899994,362.823334,60324000
2021-12-29,366.213318,368.000000,354.713318,342.320007,362.063324,56154000
2021-12-30,353.776672,365.183319,351.049988,352.706665,356.779999,47040900
2021-12-31,357.813324,360.666656,351.529999,354.799988,352.260010,40733700
2022-01-03,382.583344,400.356659,378.679993,368.739990,399.926666,103931400
2022-01-04,396.516663,402.666656,374.350006,343.853333,383.196655,100248300
2022-01-05,382.216675,390.113342,360.336670,349.869995,362.706665,80119800
2022-01-06,359.000000,362.666656,340.166656,343.503326,354.899994,90336600
2022-01-07,360.123322,360.309998,336.666656,331.883331,342.320007,84164700
2022-01-10,333.333344,353.033325,326.666656,332.089996,352.706665,91815000
2022-01-11,351.223328,358.616669,346.273346,314.633331,354.799988,66063300
2022-01-12,359.616669,371.613342,357.529999,310.000000,368.739990,83739000
2022-01-13,369.690002,371.866669,342.179993,306.133331,343.853333,97209900
2022-01-14,339.959991,350.666656,337.793335,312.470001,349.869995,72924300
2022-01-18,342.203339,356.929993,338.686676,276.366669,343.503326,66743400
2022-01-19,347.236664,351.556671,331.666656,282.116669,331.883331,75442500
2022-01-20,336.576660,347.220001,331.333344,312.239990,332.089996,70488600
2022-01-21,332.113342,334.850006,313.500000,310.416656,314.633331,103416000
2022-01-24,301.586670,311.170013,283.823334,301.886658,310.000000,151565700
2022-01-25,304.733337,317.086670,301.070007,297.046661,306.133331,86595900
2022-01-26,317.476654,329.230011,302.000000,307.773346,312.470001,104867400
2022-01-27,311.119995,311.796661,276.333344,302.446655,276.366669,147109500
2022-01-28,277.186676,285.833344,264.003326,307.333344,282.116669,134789100
2022-01-31,290.903320,312.663330,287.350006,310.666656,312.239990,104436000
2022-02-01,311.736664,314.566681,301.666656,301.516663,310.416656,73138200
2022-02-02,309.393341,310.500000,296.470001,286.666656,301.886658,66792900
2022-02-03,294.000000,312.333344,293.506653,291.920013,297.046661,78855600
2022-02-04,299.073334,312.166656,293.723328,307.476654,307.773346,73625400
2022-02-07,307.929993,315.923340,300.903320,307.796661,302.446655,60994500
2022-02-08,301.843323,308.763336,298.266663,292.116669,307.333344,50729100
2022-02-09,311.666656,315.423340,306.666656,285.660004,310.666656,52259400
2022-02-10,302.790009,314.603333,298.899994,273.843323,301.516663,66126900
2022-02-11,303.209991,305.320007,283.566681,254.679993,286.666656,79645800
2022-02-14,287.190002,299.626678,284.383331,266.923340,291.920013,67756500
2022-02-15,300.000000,307.666656,297.793335,269.956665,307.476654,57286200
2022-02-16,304.683319,308.809998,300.403320,290.143341,307.796661,51294300
2022-02-17,304.420013,306.166656,291.366669,288.123322,292.116669,55178400
2022-02-18,295.333344,295.623322,279.203339,293.296661,285.660004,68501700
2022-02-22,278.043335,285.576660,267.033325,279.763336,273.843323,83288100
2022-02-23,276.809998,278.433319,253.520004,279.429993,254.679993,95256900
2022-02-24,233.463333,267.493347,233.333328,268.193329,266.923340,135322200
2022-02-25,269.743347,273.166656,260.799988,274.799988,269.956665,76067700
2022-02-28,271.670013,292.286682,271.570007,286.323334,290.143341,99006900
2022-03-01,289.893341,296.626678,284.593323,279.433319,288.123322,74766900
2022-03-02,290.709991,295.493347,281.423340,265.116669,293.296661,74643300
2022-03-03,292.923340,295.480011,277.533325,255.456665,279.763336,61623600
2022-03-04,283.033325,285.216675,275.053345,267.296661,279.429993,66999600
2022-03-07,285.433319,288.713318,268.190002,280.076660,268.193329,72494100
2022-03-08,265.176666,283.329987,260.723328,290.533325,274.799988,80399100
2022-03-09,279.826660,286.853333,277.336670,301.796661,286.323334,59184000
2022-03-10,283.816681,284.816681,270.119995,307.053345,279.433319,58648500
2022-03-11,280.066681,281.266663,264.589996,331.326660,265.116669,67037100
2022-03-14,260.203339,266.899994,252.013336,333.036682,255.456665,71152200
2022-03-15,258.423340,268.523346,252.190002,337.973328,267.296661,66841200
2022-03-16,269.666656,280.666656,267.420013,336.880005,280.076660,84028800
2022-03-17,276.996674,291.666656,275.239990,363.946655,290.533325,66582900
2022-03-18,291.496674,302.616669,289.130005,366.523346,301.796661,100414200
2022-03-21,304.993347,314.283325,302.363342,364.663330,307.053345,81981600
2022-03-22,310.000000,332.619995,307.250000,359.200012,331.326660,105868500
2022-03-23,326.646667,346.899994,325.466675,361.529999,333.036682,120676200
2022-03-24,336.576660,341.496674,329.600006,381.816681,337.973328,68920800
2022-03-25,336.000000,340.600006,332.440002,363.753326,336.880005,62031600
2022-03-28,355.033325,365.959991,351.200012,348.586670,363.946655,102506100
2022-03-29,369.329987,371.589996,357.703339,352.420013,366.523346,73614900
2022-03-30,363.723328,371.316681,361.333344,341.829987,364.663330,59865000
2022-03-31,364.856659,367.713318,358.880005,325.309998,359.200012,48992700
2022-04-01,360.383331,364.916656,355.546661,328.983337,361.529999,54263100
2022-04-04,363.126678,383.303345,357.510010,340.790009,381.816681,82035900
2022-04-05,378.766663,384.290009,362.433319,328.333344,363.753326,80075100
2022-04-06,357.823334,359.666656,342.566681,334.763336,348.586670,89348400
2022-04-07,350.796661,358.863342,340.513336,342.716675,352.420013,79447200
2022-04-08,347.736664,349.480011,340.813324,325.733337,341.829987,55013700
2022-04-11,326.799988,336.156677,324.880005,336.260010,325.309998,59357100
2022-04-12,332.546661,340.396667,325.533325,335.016663,328.983337,65976000
2022-04-13,327.026672,342.079987,324.366669,332.673340,340.790009,55121100
2022-04-14,333.096680,337.570007,327.396667,292.140015,328.333344,58422300
2022-04-18,329.676666,338.306671,324.470001,293.836670,334.763336,51715200
2022-04-19,335.019989,344.980011,331.776672,292.503326,342.716675,49847700
2022-04-20,343.333344,344.666656,325.083344,290.253326,325.733337,70711200
2022-04-21,358.243347,364.073334,332.140015,300.980011,336.260010,105416400
2022-04-22,338.303345,344.950012,331.333344,303.083344,335.016663,69696600
2022-04-25,326.323334,336.206665,325.100006,317.540009,332.673340,68341200
2022-04-26,331.809998,333.333344,291.666656,291.093323,292.140015,136133700
2022-04-27,299.526672,306.000000,292.453339,288.549988,293.836670,76956300
2022-04-28,299.993347,300.000000,273.899994,262.369995,292.503326,124948500
2022-04-29,300.750000,311.466675,290.000000,266.679993,290.253326,88133100
2022-05-02,286.923340,302.119995,282.676666,244.666672,300.980011,75781500
2022-05-03,301.059998,308.026672,296.196655,242.666672,303.083344,63709500
2022-05-04,301.313324,318.500000,295.093323,256.529999,317.540009,81643800
2022-05-05,313.006653,315.200012,285.899994,241.456665,291.093323,92519100
2022-05-06,295.666656,296.000000,281.036682,253.869995,288.549988,72903000
2022-05-09,278.816681,281.876678,260.383331,236.603333,262.369995,90810300
2022-05-10,273.103333,275.119995,258.083344,236.473328,266.679993,84401700
2022-05-11,265.000000,269.923340,242.399994,221.300003,244.666672,97224600
2022-05-12,233.666672,253.220001,226.666672,224.966660,242.666672,140313000
2022-05-13,257.826660,262.450012,250.523331,209.386673,256.529999,92150700
2022-05-16,255.720001,256.586670,239.696671,219.600006,241.456665,86098500
2022-05-17,249.119995,254.826660,242.949997,235.910004,253.869995,80236200
2022-05-18,248.173340,253.500000,233.603333,253.210007,236.603333,87811800
2022-05-19,235.666672,244.666672,231.369995,252.753326,236.473328,90296700
2022-05-20,237.996674,240.526672,211.000000,246.789993,221.300003,144973200
2022-05-23,218.339996,226.653336,212.686661,258.333344,224.966660,88903500
2022-05-24,217.843338,217.973328,206.856674,234.516663,209.386673,89092500
2022-05-25,207.949997,223.106674,207.669998,238.279999,219.600006,92139300
2022-05-26,220.473328,239.556671,217.886673,238.886673,235.910004,106003200
2022-05-27,241.083328,253.266663,240.176666,241.866669,253.210007,89295000
2022-05-31,257.946655,259.600006,244.743332,239.706665,252.753326,101914500
2022-06-01,251.720001,257.326660,243.639999,232.229996,246.789993,77247900
2022-06-02,244.156662,264.209991,242.066666,215.736664,258.333344,93473100
2022-06-03,243.226669,247.796661,233.416672,220.889999,234.516663,112393800
2022-06-06,244.353333,244.866669,234.350006,233.000000,238.279999,84204600
2022-06-07,234.000000,239.996674,230.093338,213.100006,238.886673,72808500
2022-06-08,240.086670,249.963333,239.176666,216.759995,241.866669,76210500
2022-06-09,249.339996,255.546661,239.326660,237.036667,239.706665,96491400
2022-06-10,235.156662,239.500000,227.913330,236.086670,232.229996,97536600
2022-06-13,223.166672,226.633331,214.683334,235.070007,215.736664,102767400
2022-06-14,218.286667,226.330002,211.736664,245.706665,220.889999,97988700
2022-06-15,220.916672,235.663330,218.149994,244.919998,233.000000,119131800
2022-06-16,222.736664,225.166672,208.693329,232.663330,213.100006,107390700
2022-06-17,213.433334,220.970001,213.196671,228.490005,216.759995,92641800
2022-06-21,224.603333,243.576660,224.333328,224.473328,237.036667,122793000
2022-06-22,234.503326,246.833328,233.826660,227.263336,236.086670,101107500
2022-06-23,237.906662,239.316666,228.636673,233.066666,235.070007,104202600
2022-06-24,237.470001,246.066666,236.086670,231.733337,245.706665,95770800
2022-06-27,249.366669,252.070007,242.566666,244.543335,244.919998,89178300
2022-06-28,244.483337,249.970001,232.343338,250.763336,232.663330,90391200
2022-06-29,230.500000,231.173340,222.273331,234.343338,228.490005,82897200
2022-06-30,224.509995,229.456665,218.863327,233.070007,224.473328,94600500
2022-07-01,227.000000,230.229996,222.119995,237.039993,227.263336,74460300
2022-07-05,223.000000,233.146667,216.166672,238.313339,233.066666,84581100
2022-07-06,230.779999,234.563339,227.186661,240.066666,231.733337,71853600
2022-07-07,233.919998,245.363327,232.210007,240.546661,244.543335,81930600
2022-07-08,242.333328,254.979996,241.160004,245.529999,250.763336,101854200
2022-07-11,252.103333,253.063339,233.626663,247.500000,234.343338,99241200
2022-07-12,236.846664,239.773331,228.369995,271.706665,233.070007,87930900
2022-07-13,225.500000,242.059998,225.033340,272.243347,237.039993,97954500
2022-07-14,234.896667,238.653336,229.333328,268.433319,238.313339,78557400
2022-07-15,240.000000,243.623337,236.889999,258.859985,240.066666,69683100
2022-07-18,244.936661,250.516663,239.603333,274.820007,240.546661,82537500
2022-07-19,245.000000,247.139999,236.976669,280.899994,245.529999,80890200
2022-07-20,246.783340,250.663330,243.483337,297.149994,247.500000,88864200
2022-07-21,255.106674,273.266663,254.866669,297.276672,271.706665,142032300
2022-07-22,276.220001,280.786682,270.713318,300.586670,272.243347,103472700
2022-07-25,272.216675,274.146667,267.399994,307.396667,268.433319,64073400
2022-07-26,266.513336,267.309998,256.263336,308.633331,258.859985,66820800
2022-07-27,263.809998,275.926666,261.790009,288.170013,274.820007,88110000
2022-07-28,280.066681,283.299988,272.799988,290.423340,280.899994,84723000
2022-07-29,280.700012,298.320007,279.100006,283.333344,297.149994,95313000
2022-08-01,301.276672,311.876678,295.000000,294.356659,297.276672,117042900
2022-08-02,294.003326,307.833344,292.666656,286.630005,300.586670,95577600
2022-08-03,305.000000,309.549988,301.149994,300.029999,307.396667,80091000
2022-08-04,311.000000,313.606659,305.000000,309.320007,308.633331,72256200
2022-08-05,302.670013,304.606659,285.543335,306.563324,288.170013,113172900
2022-08-08,295.000000,305.200012,289.086670,303.996674,290.423340,98994000
2022-08-09,290.293335,292.396667,279.353333,302.869995,283.333344,86244600
2022-08-10,297.066681,297.510010,283.369995,296.666656,294.356659,94918800
2022-08-11,296.513336,298.236664,285.833344,289.913330,286.630005,70155000
2022-08-12,289.416656,300.160004,285.033325,296.453339,300.029999,79657200
2022-08-15,301.786682,313.133331,301.230011,297.096680,309.320007,89359200
2022-08-16,311.666656,314.666656,302.883331,296.070007,306.563324,88136400
2022-08-17,303.396667,309.656677,300.033325,288.089996,303.996674,68766000
2022-08-18,306.000000,306.500000,301.853333,284.820007,302.869995,47500500
2022-08-19,299.000000,300.359985,292.500000,277.700012,296.666656,61395300
2022-08-22,291.913330,292.399994,286.296661,275.609985,289.913330,55843200
2022-08-23,291.453339,298.826660,287.923340,277.160004,296.453339,63984900
2022-08-24,297.563324,303.646667,296.500000,270.209991,297.096680,57259800
2022-08-25,302.359985,302.959991,291.600006,274.420013,296.070007,53230000
2022-08-26,297.429993,302.000000,287.470001,283.700012,288.089996,57163900
2022-08-29,282.829987,287.739990,280.700012,289.260010,284.820007,41864700
2022-08-30,287.869995,288.480011,272.649994,299.679993,277.700012,50541800
2022-08-31,280.619995,281.250000,271.809998,304.420013,275.609985,52107300
2022-09-01,272.579987,277.579987,266.149994,292.130005,277.160004,54287000
2022-09-02,281.070007,282.350006,269.079987,302.609985,270.209991,50890100
2022-09-06,272.679993,275.989990,265.739990,303.750000,274.420013,55860000
2022-09-07,273.100006,283.839996,272.269989,303.350006,283.700012,50028900
2022-09-08,281.299988,289.500000,279.760010,309.070007,289.260010,53713100
2022-09-09,291.670013,299.850006,291.250000,308.730011,299.679993,54338100
2022-09-12,300.720001,305.489990,300.399994,300.799988,304.420013,48674600
2022-09-13,292.899994,297.399994,290.399994,288.589996,292.130005,68229600
2022-09-14,292.239990,306.000000,291.640015,275.329987,302.609985,72628700
2022-09-15,301.829987,309.119995,300.720001,276.010010,303.750000,64795500
2022-09-16,299.609985,303.709991,295.600006,282.940002,303.350006,87087800
2022-09-19,300.089996,309.839996,297.799988,287.809998,309.070007,60231200
2022-09-20,306.910004,313.329987,305.579987,268.209991,308.730011,61642800
2022-09-21,308.290009,313.799988,300.630005,265.250000,300.799988,62555700
2022-09-22,299.859985,301.290009,285.820007,242.399994,288.589996,70545400
2022-09-23,283.089996,284.500000,272.820007,249.440002,275.329987,63748400
2022-09-26,271.829987,284.089996,270.309998,240.809998,276.010010,58076900
2022-09-27,283.839996,288.670013,277.510010,238.130005,282.940002,61925200
2022-09-28,283.079987,289.000000,277.570007,223.070007,287.809998,54664800
2022-09-29,282.760010,283.649994,265.779999,222.960007,268.209991,77620600
2022-09-30,266.149994,275.570007,262.470001,216.500000,265.250000,67726600
2022-10-03,254.500000,255.160004,241.009995,217.240005,242.399994,98363500
2022-10-04,250.520004,257.500000,242.009995,221.720001,249.440002,109578500
2022-10-05,245.009995,246.669998,233.270004,204.990005,240.809998,86982700
2022-10-06,239.440002,244.580002,235.350006,219.350006,238.130005,69298400
2022-10-07,233.940002,234.570007,222.020004,220.190002,223.070007,83916800
2022-10-10,223.929993,226.990005,218.360001,222.039993,222.960007,67925000
2022-10-11,220.949997,225.750000,215.000000,207.279999,216.500000,77013200
2022-10-12,215.330002,219.300003,211.509995,214.440002,217.240005,66860700
2022-10-13,208.300003,222.990005,206.220001,211.250000,221.720001,91483000
2022-10-14,224.009995,226.259995,204.160004,222.419998,204.990005,94124500
2022-10-17,210.039993,221.860001,209.449997,224.639999,219.350006,79428800
2022-10-18,229.500000,229.820007,217.250000,225.089996,220.190002,75891900
2022-10-19,219.800003,222.929993,217.779999,228.520004,222.039993,66571500
2022-10-20,208.279999,215.550003,202.000000,227.539993,207.279999,117798100
2022-10-21,206.419998,214.660004,203.800003,227.820007,214.440002,75713800
2022-10-24,205.820007,213.500000,198.589996,214.979996,211.250000,100446800
2022-10-25,210.100006,224.350006,210.000000,215.309998,222.419998,96507900
2022-10-26,219.399994,230.600006,218.199997,207.470001,224.639999,85012500
2022-10-27,229.770004,233.809998,222.850006,197.080002,225.089996,61638800
2022-10-28,225.399994,228.860001,216.350006,191.300003,228.520004,69152400
2022-10-31,226.190002,229.850006,221.940002,177.589996,227.539993,61554300
2022-11-01,234.050003,237.399994,227.279999,190.720001,227.820007,62688800
2022-11-02,226.039993,227.869995,214.820007,195.970001,214.979996,63070300
2022-11-03,211.360001,221.199997,210.139999,190.949997,215.309998,56538800
2022-11-04,222.600006,223.800003,203.080002,194.419998,207.470001,98622200
2022-11-07,208.649994,208.899994,196.660004,186.919998,197.080002,93916500
2022-11-08,194.020004,195.199997,186.750000,183.169998,191.300003,128803400
2022-11-09,190.779999,195.889999,177.119995,180.190002,177.589996,127062700
2022-11-10,189.899994,191.000000,180.029999,167.869995,190.720001,132703000
2022-11-11,186.000000,196.520004,182.589996,169.910004,195.970001,114403600
2022-11-14,192.770004,195.729996,186.339996,183.199997,190.949997,92226600
2022-11-15,195.880005,200.820007,192.059998,182.860001,194.419998,91293800
2022-11-16,191.509995,192.570007,185.660004,182.919998,186.919998,66567600
2022-11-17,183.960007,186.160004,180.899994,180.830002,183.169998,64336000
2022-11-18,185.050003,185.190002,176.550003,194.699997,180.190002,76048900
2022-11-21,175.850006,176.770004,167.539993,194.699997,167.869995,92882700
2022-11-22,168.630005,170.919998,166.190002,194.860001,169.910004,78452300
2022-11-23,173.570007,183.619995,172.500000,182.449997,183.199997,109536700
2022-11-25,185.059998,185.199997,180.630005,179.820007,182.860001,50672700
2022-11-28,179.960007,188.500000,179.000000,174.039993,182.919998,92905200
2022-11-29,184.990005,186.380005,178.750000,173.440002,180.830002,83357100
2022-11-30,182.429993,194.759995,180.630005,179.050003,194.699997,109186400
2022-12-01,197.080002,198.919998,191.800003,167.820007,194.699997,80046200
2022-12-02,191.779999,196.250000,191.110001,160.949997,194.860001,73645900
2022-12-05,189.440002,191.270004,180.550003,156.800003,182.449997,93122700
2022-12-06,181.220001,183.649994,175.330002,157.669998,179.820007,92150800
2022-12-07,175.029999,179.380005,172.220001,150.229996,174.039993,84213300
2022-12-08,172.199997,175.199997,169.059998,149.869995,173.440002,97624500
2022-12-09,173.839996,182.500000,173.360001,137.800003,179.050003,104872300
2022-12-12,176.100006,177.369995,167.520004,137.570007,167.820007,109794500
2022-12-13,174.869995,175.050003,156.910004,125.349998,160.949997,175862700
2022-12-14,159.250000,161.619995,155.309998,123.150002,156.800003,140682300
2022-12-15,153.440002,160.929993,153.279999,109.099998,157.669998,122334500
2022-12-16,159.639999,160.990005,150.039993,112.709999,150.229996,139032200
2022-12-19,154.000000,155.250000,145.820007,121.820000,149.869995,139390600
2022-12-20,146.050003,148.470001,137.660004,123.180000,137.800003,159563300
2022-12-21,139.339996,141.259995,135.889999,108.099998,137.570007,145417400
2022-12-22,136.000000,136.630005,122.260002,113.639999,125.349998,210090300
2022-12-23,126.370003,128.619995,121.019997,110.339996,123.150002,166989700
2022-12-27,117.500000,119.669998,108.760002,113.059998,109.099998,208643400
2022-12-28,110.349998,116.269997,108.239998,119.769997,112.709999,221070500
2022-12-29,120.389999,123.570000,117.500000,118.849998,121.820000,221923300
2022-12-30,119.949997,124.480003,119.750000,123.220001,123.180000,157777300
2023-01-03,118.470001,118.800003,104.639999,123.559998,108.099998,231402800
2023-01-04,109.110001,114.589996,107.519997,122.400002,113.639999,180389000
2023-01-05,110.510002,111.750000,107.160004,131.490005,110.339996,157986300
2023-01-06,103.000000,114.389999,101.809998,128.779999,113.059998,220911100
2023-01-09,118.959999,123.519997,117.110001,127.169998,119.769997,190284000
2023-01-10,121.070000,122.760002,114.919998,133.419998,118.849998,167642500
2023-01-11,122.089996,125.949997,120.510002,143.750000,123.220001,183810800
2023-01-12,122.559998,124.129997,117.000000,143.889999,123.559998,169400900
2023-01-13,116.550003,122.629997,115.599998,144.429993,122.400002,180714100
2023-01-17,125.699997,131.699997,125.019997,160.270004,131.490005,186477000
2023-01-18,136.559998,136.679993,127.010002,177.899994,128.779999,195680300
2023-01-19,127.260002,129.990005,124.309998,166.660004,127.169998,170291900
2023-01-20,128.679993,133.509995,127.349998,173.220001,133.419998,138858100
2023-01-23,135.869995,145.380005,134.270004,181.410004,143.750000,203119200
2023-01-24,143.000000,146.500000,141.100006,188.270004,143.889999,158699100
2023-01-25,141.910004,146.410004,138.070007,189.979996,144.429993,192734300
2023-01-26,159.970001,161.419998,154.759995,194.759995,160.270004,234815100
2023-01-27,162.429993,180.679993,161.169998,196.809998,177.899994,306590600
2023-01-30,178.050003,179.770004,166.500000,201.289993,166.660004,230878800
2023-01-31,164.570007,174.300003,162.779999,207.320007,173.220001,196813500
2023-02-01,173.889999,183.809998,169.929993,196.889999,181.410004,213806300
2023-02-02,187.330002,196.750000,182.610001,194.639999,188.270004,217448300
2023-02-03,183.949997,199.000000,183.690002,209.250000,189.979996,232662000
2023-02-06,193.009995,198.169998,189.919998,214.240005,194.759995,186188100
2023-02-07,196.429993,197.500000,189.550003,202.039993,196.809998,186010300
2023-02-08,196.100006,203.000000,194.309998,208.309998,201.289993,180673600
2023-02-09,207.779999,214.000000,204.770004,197.369995,207.320007,215431400
2023-02-10,202.229996,206.199997,192.889999,200.860001,196.889999,204754100
2023-02-13,194.419998,196.300003,187.610001,202.070007,194.639999,172475500
2023-02-14,191.940002,209.820007,189.440002,196.880005,209.250000,216455700
2023-02-15,211.759995,214.660004,206.110001,207.630005,214.240005,181006400
2023-02-16,210.779999,217.649994,201.839996,205.710007,202.039993,229586500
2023-02-17,199.990005,208.440002,197.500000,202.770004,208.309998,213738500
2023-02-21,204.990005,209.710007,197.220001,190.899994,197.369995,180018600
2023-02-22,197.929993,201.990005,191.779999,197.789993,200.860001,191828500
2023-02-23,203.910004,205.139999,196.330002,193.809998,202.070007,146360000
2023-02-24,196.330002,197.669998,192.800003,187.710007,196.880005,142228100
2023-02-27,202.029999,209.419998,201.259995,182.000000,207.630005,161028300
2023-02-28,210.589996,211.229996,203.750000,172.919998,205.710007,153144900
2023-03-01,206.210007,207.199997,198.520004,173.440002,202.770004,156852800
2023-03-02,186.740005,193.750000,186.009995,174.479996,190.899994,181500700
2023-03-03,194.800003,200.479996,192.880005,183.259995,197.789993,154193300
2023-03-06,198.539993,198.600006,192.300003,180.449997,193.809998,128100100
2023-03-07,191.380005,194.199997,186.100006,184.130005,187.710007,148125800
2023-03-08,185.039993,186.500000,180.000000,180.130005,182.000000,151897800
2023-03-09,180.250000,185.179993,172.509995,183.250000,172.919998,170023800
2023-03-10,175.130005,178.289993,168.440002,197.580002,173.440002,191488900
2023-03-13,167.460007,177.350006,163.910004,191.149994,174.479996,167790300
2023-03-14,177.309998,183.800003,177.139999,192.220001,183.259995,143717900
2023-03-15,180.800003,182.339996,176.029999,190.410004,180.449997,145995600
2023-03-16,180.369995,185.809998,178.839996,191.809998,184.130005,121136800
2023-03-17,184.520004,186.220001,177.330002,189.190002,180.130005,133197100
2023-03-20,178.080002,186.440002,176.350006,193.880005,183.250000,129684400
2023-03-21,188.279999,198.000000,188.039993,195.279999,197.580002,153391400
2023-03-22,199.300003,200.660004,190.949997,207.460007,191.149994,150376400
2023-03-23,195.259995,199.309998,188.649994,194.770004,192.220001,144193900
2023-03-24,191.649994,192.360001,187.149994,192.580002,190.410004,116312400
2023-03-27,194.419998,197.389999,189.940002,185.520004,191.809998,120851600
2023-03-28,192.000000,192.350006,185.429993,185.059998,189.190002,98654600
2023-03-29,193.130005,195.289993,189.440002,184.509995,193.880005,123660000
2023-03-30,195.580002,197.330002,194.419998,186.789993,195.279999,110252200
2023-03-31,197.529999,207.789993,197.199997,180.539993,207.460007,170222100
2023-04-03,199.910004,202.690002,192.199997,185.899994,194.770004,169545900
2023-04-04,197.320007,198.740005,190.320007,185.000000,192.580002,126463800
2023-04-05,190.520004,190.679993,183.759995,187.039993,185.520004,133882500
2023-04-06,183.080002,186.389999,179.740005,184.309998,185.059998,123857900
2023-04-10,179.940002,185.100006,176.110001,180.589996,184.509995,142154600
2023-04-11,186.690002,189.190002,185.649994,162.990005,186.789993,115770900
2023-04-12,190.740005,191.580002,180.309998,165.080002,180.539993,150256300
2023-04-13,182.960007,186.500000,180.940002,162.550003,185.899994,112933000
2023-04-14,183.949997,186.279999,182.009995,160.669998,185.000000,96438700
2023-04-17,186.320007,189.690002,182.690002,153.750000,187.039993,116662200
2023-04-18,187.149994,187.690002,183.580002,160.190002,184.309998,92067000
2023-04-19,179.100006,183.500000,177.649994,164.309998,180.589996,125732700
2023-04-20,166.169998,169.699997,160.559998,161.830002,162.990005,210970800
2023-04-21,164.800003,166.000000,161.320007,160.309998,165.080002,123539000
2023-04-24,164.649994,165.649994,158.610001,160.610001,162.550003,140006600
2023-04-25,159.820007,163.470001,158.750000,161.199997,160.669998,121999300
2023-04-26,160.289993,160.669998,153.139999,170.059998,153.750000,153364100
2023-04-27,152.639999,160.479996,152.369995,171.789993,160.190002,127015200
2023-04-28,160.899994,165.000000,157.320007,169.149994,164.309998,122515800
2023-05-01,163.169998,163.279999,158.830002,168.539993,161.830002,109015000
2023-05-02,161.880005,165.490005,158.929993,172.080002,160.309998,128259700
2023-05-03,160.009995,165.000000,159.910004,167.979996,160.610001,119728000
2023-05-04,162.710007,162.949997,159.649994,166.350006,161.199997,95108500
2023-05-05,163.970001,170.789993,163.509995,166.520004,170.059998,107440900
